"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"BB[1,1]",-3.94584314859235,1.78486337426631,-7.5391993143048,-5.11822279467715,-3.90219573439591,-2.71848701410372,-0.599249614568889,1.0012351014962,7400
"BB[2,1]",-4.72498674861298,1.80710413853639,-8.35282183343967,-5.91499405042431,-4.69746722977989,-3.48315999059989,-1.33683281250453,1.00162668923911,3000
"BB[3,1]",-4.91411934111272,1.86395323725524,-8.60822978249229,-6.16848305437149,-4.89219500571864,-3.65518963888022,-1.34070938070953,1.0013642976492,5000
"BB[4,1]",-4.21321917210717,1.73361120692851,-7.68682255311413,-5.34981046508428,-4.19351227027937,-3.01420729730655,-0.945559791039192,1.0012363383117,7400
"BB[5,1]",-5.87645233688053,1.89899925212582,-9.66568021923727,-7.13361513910183,-5.85747389361343,-4.5615180035936,-2.21868738751566,1.00119678983968,8600
"BB[6,1]",-3.05393338521229,1.65854056911753,-6.5221329389159,-4.12623942471624,-2.99542742128673,-1.87333684061121,0.0373636212241862,1.00137366850112,4900
"BB[7,1]",-4.73717542443146,1.81574263686558,-8.37140911568849,-5.94647232469409,-4.70051510366482,-3.53108085186573,-1.22954286662259,1.00185379609485,2300
"BB[8,1]",-6.4871968599693,1.83424890507209,-10.1829781845918,-7.66719333551641,-6.45330080052419,-5.23796444011245,-3.02112426226698,1.00135185376439,5200
"BB[9,1]",-6.21530233256639,1.82281932776953,-9.89761242426075,-7.40955653046513,-6.16807024515078,-5.00467754016091,-2.74229986633076,1.00130959788495,5800
"BB[10,1]",-3.71072324310997,1.70843105788572,-7.1874990583811,-4.836965461777,-3.6543696117575,-2.54296999452978,-0.442162823182577,1.00097372687532,45000
"BB[11,1]",-0.484924521975574,1.49931906213454,-3.49085577414759,-1.46940185431354,-0.451387423577157,0.536618790744661,2.39845545394708,1.00176223107523,2500
"BB[12,1]",-4.58686107735905,1.76237492841253,-8.16789448664509,-5.74823695870499,-4.54898261023461,-3.38375608874516,-1.21040505952418,1.00108997846443,16000
"BB[13,1]",-1.50621394800821,1.46438545746199,-4.49754205655084,-2.47103852417033,-1.45170728743915,-0.500055128732445,1.22199447842495,1.00145839902705,4100
"BB[14,1]",-5.0788300073407,1.78721127137673,-8.70631795486758,-6.26250430532524,-5.05077227279675,-3.85216419975127,-1.66871606585297,1.0009800046848,45000
"BB[15,1]",-5.66200674523872,1.74621010254161,-9.1671716345153,-6.79936669564152,-5.64252849477588,-4.45638981661827,-2.35176261073229,1.00123689252526,7400
"BB[16,1]",-4.22122882608826,1.46401699285343,-7.3385224113228,-5.16581139592782,-4.12630328720061,-3.16205984917609,-1.64999852379561,1.00126809027204,6600
"BB[17,1]",-4.27792838439517,1.72727359961445,-7.75954742089413,-5.41573221895036,-4.24408170143662,-3.08123099297695,-1.0155258606395,1.00123219983793,7500
"BB[18,1]",-5.46704184736012,1.80693769806368,-9.06967260216545,-6.67119953523317,-5.44002803584714,-4.23208043142284,-2.00807612992935,1.001302788814,5900
"BB[19,1]",-4.6733516735585,1.8365014869974,-8.34363825310695,-5.89072204150122,-4.63695506378017,-3.41208657823135,-1.14383594485415,1.00188396062452,2200
"BB[20,1]",-4.46922684096112,1.79117150068482,-8.12008948801772,-5.65066099056471,-4.44226866955598,-3.24457683970266,-1.05840320769358,1.00107904425212,18000
"BB[21,1]",-3.42142965898365,1.64519019452535,-6.83006531619182,-4.48200531462846,-3.39799566141048,-2.26798753817462,-0.37318626274277,1.00104762995005,24000
"BB[22,1]",-0.335877514556651,0.482637944457587,-1.31423072339955,-0.653773080625519,-0.324183205290719,-0.0116379110078554,0.588014940687268,1.000969375768,45000
"BB[23,1]",-0.0433721633197679,0.527982238324522,-1.07751365531579,-0.392696820235277,-0.0498363756360904,0.304299210639821,0.999273367969417,1.00130341907102,5900
"BB[24,1]",-0.479336156672946,0.695731452303537,-1.88718122258976,-0.932554421813199,-0.469681393415674,-0.0152127331206488,0.867043862274952,1.00100237534046,45000
"BB[25,1]",-4.19989693636152,1.50290160880286,-7.31897693423823,-5.20365792463366,-4.1319761044403,-3.13461416273356,-1.51711977724952,1.00112344529564,13000
"BB[26,1]",-0.603667707185081,0.622296567891108,-1.85792509593962,-1.00552669659164,-0.59141570198869,-0.184648127800589,0.581599024397419,1.00124733233987,7100
"BB[27,1]",-0.126662454113259,1.40202382594344,-2.93078846002307,-1.0339410804649,-0.110312705658776,0.779896898514534,2.60841336422999,1.00112950053999,12000
"BB[28,1]",-2.58078847761708,1.56723903550836,-5.80064234912059,-3.59000890116505,-2.54331459009734,-1.49762137012485,0.355265300268214,1.00141071516015,4500
"BB[29,1]",-3.07008455728005,1.27778696178927,-5.84334640087596,-3.86721986728225,-2.97504828177881,-2.16990786338421,-0.864175758655935,1.00149258364002,3800
"BB[30,1]",-4.16513776804593,1.48775325702704,-7.31628854083047,-5.12727260371321,-4.08468500112526,-3.121983867234,-1.49946619050425,1.00136572200282,5000
"BB[31,1]",-3.22353914563236,1.44061970927418,-6.24540843444431,-4.15536687570855,-3.14101138847586,-2.21302820377934,-0.668117591928772,1.00114632615457,11000
"BB[32,1]",-3.24431474285181,1.69547119776298,-6.65888506127763,-4.3736868513244,-3.18565890364197,-2.05625668455929,-0.130750952716771,1.00128053562762,6300
"BB[33,1]",-3.29042937677727,1.65778380579982,-6.66623280271938,-4.37002333357393,-3.23479645045983,-2.15695502859013,-0.196733040049388,1.00113053518306,12000
"BB[34,1]",-3.93208189797384,1.63035239004395,-7.23327022735626,-5.01556457330419,-3.88333195374711,-2.79518146975004,-0.886733329695613,1.00182634168682,2300
"BB[35,1]",-3.41287753502104,1.36991957932476,-6.37283676797069,-4.26805918465784,-3.29928589990466,-2.43339092961812,-1.02408581169245,1.00122639258276,7700
"BB[36,1]",-3.96381766488843,1.36380828951033,-6.92103509685917,-4.82998296282165,-3.86392649154348,-2.98337024585587,-1.62248189530784,1.00111961727557,13000
"BB[37,1]",-1.96369517346695,1.51200316156353,-5.11303121237747,-2.96034983667932,-1.88752853356854,-0.91488009535229,0.837960478827811,1.00101415298211,41000
"BB[38,1]",-1.69637344015215,1.49716693286767,-4.78323030956271,-2.6607710581026,-1.63914883325585,-0.67015846895838,1.07616369849366,1.00097518406693,45000
"BB[39,1]",-1.22832043310608,1.43234068130039,-4.1710745572853,-2.15462920295889,-1.15744853204502,-0.263347248669609,1.44854558905656,1.00155413822859,3400
"BB[40,1]",-3.58694409903038,1.62488956883052,-6.88588204190026,-4.65304924655016,-3.53416828011226,-2.45687062313799,-0.597396913058533,1.00125572160658,6900
"BB[41,1]",-2.03913145889585,1.48300892914672,-5.10810473385721,-3.01021498471018,-1.98902562519002,-0.991559776364464,0.683138536559588,1.00098646844208,45000
"BB[42,1]",1.15992615509284,0.54121132699656,0.157369729966505,0.785532670286912,1.1364796492878,1.50580604507755,2.29908219019099,1.00145497851312,4100
"BB[43,1]",-1.25746616161077,0.675517734542732,-2.67088816406904,-1.69587016496353,-1.22372965633875,-0.785986616084192,-0.0352585402352215,1.00102869946378,31000
